escenario,minuto,hora,es_hora_pico,nb_conductores,velocidad_media_kmh,pct_ruta_directa,pct_reroutean,pct_metro,modal_shift_acum,nb_restringidos_placa,directo_nse_alto,directo_nse_medio,directo_nse_bajo,metro_nse_alto,metro_nse_medio,metro_nse_bajo,rerouta_nse_alto,rerouta_nse_medio,rerouta_nse_bajo,archivo_fuente,recaudacion_acum_usd,recaud_auto,recaud_suv,recaud_carga,pagos_auto,pagos_suv,pagos_carga,hora_decimal,directo_nse_bajo_corr,metro_nse_bajo_corr,rerouta_nse_bajo_corr,pct_metro_bajo_corr,flujo_poligono,flujo_externo,pct_pagan,flujo_poligono_hora,flujo_externo_hora,total_nse_alto,total_nse_medio,total_nse_bajo,metro_share_nse_alto,metro_share_nse_medio,metro_share_nse_bajo,gini_modal_metro
E0,375,6:15,False,300,35.6,82.0,9.3,8.7,324,66,44,101,101,3,7,16,5,17,6,E0_metricas.csv,0.0,0.0,0.0,0.0,0,0,0,6.25,89,16,6,14.414414414414415,246,28,82.0,984,112,52,125,123,0.057692307692307696,0.056,0.13008130081300814,0.2025959010827941
E0,390,6:30,False,300,35.7,81.0,9.3,9.7,803,66,43,99,101,4,9,16,5,17,6,E0_metricas.csv,0.0,0.0,0.0,0.0,0,0,0,6.5,89,16,6,14.414414414414415,243,28,81.0,972,112,52,125,123,0.07692307692307693,0.072,0.13008130081300814,0.13878229267534584
E0,405,6:45,False,300,36.1,82.7,9.3,8.0,1287,66,44,101,103,3,7,14,5,17,6,E0_metricas.csv,0.0,0.0,0.0,0.0,0,0,0,6.75,91,14,6,12.612612612612612,248,28,82.7,992,112,52,125,123,0.057692307692307696,0.056,0.11382113821138211,0.16942921910018663
E0,420,7:00,True,300,36.0,82.3,9.3,8.3,1772,66,44,100,103,3,8,14,5,17,6,E0_metricas.csv,0.0,0.0,0.0,0.0,0,0,0,7.0,91,14,6,12.612612612612612,247,28,82.3,988,112,52,125,123,0.057692307692307696,0.064,0.11382113821138211,0.15888358391797178
E0,435,7:15,True,367,36.1,83.7,7.9,8.4,2272,73,54,125,128,5,9,17,5,18,6,E0_metricas.csv,0.0,0.0,0.0,0.0,0,0,0,7.25,113,17,6,12.5,307,29,83.7,1228,116,64,152,151,0.078125,0.05921052631578947,0.11258278145695365,0.1423725366282406
E0,450,7:30,True,435,34.5,84.8,6.9,8.3,2840,84,65,155,149,3,12,21,5,18,7,E0_metricas.csv,0.0,0.0,0.0,0.0,0,0,0,7.5,131,21,7,13.20754716981132,369,30,84.8,1476,120,73,185,177,0.0410958904109589,0.06486486486486487,0.11864406779661017,0.23017664632738052
E0,465,7:45,True,502,34.6,84.3,7.4,8.4,3498,98,72,174,177,8,13,21,6,21,10,E0_metricas.csv,0.0,0.0,0.0,0.0,0,0,0,7.75,156,21,10,11.229946524064172,423,37,84.3,1692,148,86,208,208,0.09302325581395349,0.0625,0.10096153846153846,0.09997093868061609
E0,480,8:00,True,570,34.0,84.0,7.2,8.8,4292,112,83,195,201,9,12,29,7,21,13,E0_metricas.csv,0.0,0.0,0.0,0.0,0,0,0,8.0,177,29,13,13.24200913242009,479,41,84.0,1916,164,99,228,243,0.09090909090909091,0.05263157894736842,0.11934156378600823,0.16917584200933758
E0,495,8:15,True,637,33.5,83.4,7.5,9.1,5194,125,94,217,220,10,19,29,8,25,15,E0_metricas.csv,0.0,0.0,0.0,0.0,0,0,0,8.25,194,29,15,12.184873949579831,531,48,83.4,2124,192,112,261,264,0.08928571428571429,0.07279693486590039,0.10984848484848485,0.09083562061604145
E0,510,8:30,True,705,33.4,83.3,7.5,9.2,6155,142,103,241,243,13,21,31,9,27,17,E0_metricas.csv,0.0,0.0,0.0,0.0,0,0,0,8.5,214,31,17,11.83206106870229,587,53,83.3,2348,212,125,289,291,0.104,0.0726643598615917,0.10652920962199312,0.0797213247041717
E0,525,8:45,True,772,34.1,83.3,7.9,8.8,7231,160,114,265,264,10,21,37,10,29,22,E0_metricas.csv,0.0,0.0,0.0,0.0,0,0,0,8.75,232,37,22,12.714776632302405,643,61,83.3,2572,244,134,315,323,0.07462686567164178,0.06666666666666667,0.11455108359133127,0.1247747368083066
